,t,ticks,I
656,50147093,19364,23
657,50149884,19401,23
658,50152675,19438,16
659,50155466,19476,21
660,50158256,19513,21
661,50161047,19550,18
662,50163838,19587,18
663,50166628,19624,25
664,50169419,19660,18
665,50172219,19697,18
666,50175018,19734,23
667,50177808,19770,24
668,50180599,19806,24
669,50183390,19842,23
670,50186181,19878,23
671,50188971,19913,22
672,50191762,19949,26
673,50194552,19984,26
674,50197343,20020,27
675,50200133,20055,27
676,50202924,20090,23
677,50205715,20125,27
678,50208505,20159,27
679,50211306,20194,25
680,50214104,20228,29
681,50216895,20263,29
682,50219694,20297,26
683,50222485,20331,26
684,50225284,20364,31
685,50228075,20398,31
686,50230866,20432,31
687,50233665,20465,28
688,50236456,20498,28
689,50239246,20531,30
690,50242045,20564,34
691,50244836,20596,34
692,50247627,20629,36
693,50250426,20661,36
694,50253217,20694,29
695,50256016,20726,33
696,50258807,20758,33
697,50261606,20790,35
698,50264397,20821,32
699,50267188,20853,32
700,50269978,20884,37
701,50272769,20915,37
702,50275568,20946,37
703,50278359,20977,38
704,50281149,21008,38
705,50283940,21038,35
706,50286731,21068,35
707,50289522,21099,37
708,50292312,21128,43
709,50295103,21159,43
710,50297902,21188,36
711,50300693,21218,36
712,50303483,21247,38
713,50306274,21276,42
714,50309073,21305,42
715,50311874,21334,40
716,50314664,21363,40
717,50317454,21391,40
718,50320245,21420,42
719,50323044,21448,42
720,50325843,21476,43
721,50328634,21504,44
722,50331425,21532,44
723,50334224,21559,41
724,50337015,21587,41
725,50339805,21614,44
726,50342596,21641,48
727,50345387,21668,48
728,50348177,21695,41
729,50350968,21722,43
730,50353759,21748,43
731,50356550,21774,47
732,50359340,21800,47
733,50362131,21826,44
734,50364921,21852,46
735,50367712,21878,46
736,50370503,21903,47
737,50373293,21928,47
738,50376084,21953,43
739,50378883,21979,48
740,50381674,22003,48
741,50384465,22028,50
742,50387256,22053,50
743,50390046,22077,50
744,50392837,22102,48
745,50395627,22126,48
746,50398418,22150,48
747,50401211,22174,46
748,50404010,22197,46
749,50406807,22221,46
750,50409598,22245,46
751,50412397,22267,50
752,50415188,22291,49
753,50417979,22314,49
754,50420770,22336,46
755,50423562,22359,46
756,50426359,22381,48
757,50429150,22404,51
758,50431941,22426,51
759,50434731,22448,48
760,50437522,22470,48
761,50440313,22492,47
762,50443104,22513,51
763,50445894,22534,51
764,50448685,22556,51
765,50451476,22577,48
766,50454275,22598,48
767,50457065,22619,49
768,50459856,22640,49
769,50462647,22660,51
770,50465439,22681,50
771,50468237,22701,50
772,50471028,22721,47
773,50473818,22742,47
774,50476609,22762,49
775,50479400,22781,51
